iter	Passed	Remaining
466	728	831
467	729	828
468	730	826
469	731	824
470	732	822
471	733	820
472	734	817
473	735	815
474	735	813
475	736	810
476	738	810
477	740	808
478	741	806
479	742	804
480	743	801
481	744	799
482	745	797
483	746	795
484	746	793
485	747	791
486	748	788
487	749	786
488	750	784
489	751	782
490	752	780
491	753	778
492	755	777
493	757	775
494	758	773
495	759	771
496	759	769
497	760	766
498	761	764
499	762	762
500	763	760
501	764	758
502	765	756
503	766	753
504	767	751
505	768	750
506	770	748
507	771	747
508	772	745
509	773	743
510	774	740
511	775	738
512	776	737
513	777	734
514	778	732
515	778	730
516	779	728
517	780	726
518	781	724
519	782	722
520	785	721
521	787	720
522	788	718
523	789	717
524	790	715
525	791	712
526	791	710
527	792	708
528	793	706
529	794	704
530	795	702
531	796	700
532	798	699
533	799	697
534	800	695
535	801	693
536	802	691
537	804	691
538	805	689
539	806	687
540	807	685
541	809	684
542	811	682
543	814	682
544	815	680
545	816	678
546	817	676
547	818	674
548	819	672
549	820	670
550	820	668
551	821	666
552	822	664
553	823	662
554	823	660
555	824	658
556	825	656
557	826	654
558	827	652
559	828	650
560	830	649
561	831	648
562	832	646
563	833	644
564	834	642
565	834	640
566	835	638
567	836	636
568	837	634
569	838	632
570	838	630
571	839	628
572	840	626
573	841	624
574	842	622
575	843	621
576	844	619
577	846	617
578	846	615
579	847	613
580	848	612
581	849	610
582	850	608
583	851	606
584	851	604
585	852	602
586	853	600
587	854	598
588	855	596
589	855	594
590	856	592
591	857	591
592	859	589
593	860	587
594	860	586
595	861	584
596	862	582
597	863	580
598	863	578
599	864	576
600	865	574
601	865	572
602	866	570
603	867	568
604	867	566
605	868	564
606	869	562
607	870	561
608	870	559
609	871	557
610	872	555
611	874	554
612	875	552
613	876	551
614	877	549
615	878	547
616	879	545
617	880	543
618	880	542
619	881	540
620	882	538
621	882	536
622	883	534
623	884	532
624	885	531
625	885	529
626	886	527
627	888	526
628	889	524
629	890	522
630	891	521
631	891	519
632	892	517
633	893	515
634	894	513
635	894	512
636	895	510
637	896	508
638	897	506
639	897	505
640	898	503
641	899	501
642	900	499
643	900	497
644	901	496
645	903	494
646	904	493
647	905	491
648	905	489
649	906	488
650	907	486
651	908	484
652	909	483
653	910	481
654	911	480
655	912	478
656	912	476
657	913	474
658	914	473
659	915	471
660	917	470
661	918	469
662	919	467
663	920	465
664	921	464
665	921	462
666	922	460
667	923	458
668	924	457
669	924	455
670	925	453
671	926	452
672	927	450
673	927	448
674	928	447
675	929	445
676	930	443
677	931	442
678	933	441
679	934	439
680	935	438
681	936	436
682	936	434
683	937	433
684	938	431
685	939	430
686	940	428
687	941	426
688	942	425
689	943	423
690	944	422
691	945	421
692	947	419
693	950	418
694	950	417
695	951	415
696	952	414
697	953	412
698	953	410
699	954	409
700	955	407
701	956	406
702	957	404
703	958	403
704	959	401
705	960	400
706	962	398
707	963	397
708	964	395
709	965	394
710	966	392
711	967	391
712	968	389
713	968	388
714	969	386
715	970	384
716	971	383
717	972	381
718	972	380
719	973	378
720	974	377
721	975	375
722	976	374
723	977	372
724	978	371
725	979	369
726	980	368
727	980	366
728	981	364
729	982	363
730	983	361
731	984	360
732	985	358
733	985	357
734	986	355
735	987	354
736	988	352
737	989	351
738	991	350
739	992	348
740	993	347
741	994	345
742	995	344
743	996	342
744	996	341
745	997	339
746	998	338
747	999	336
748	1001	335
749	1001	333
750	1002	332
751	1003	330
752	1004	329
753	1004	327
754	1006	326
755	1007	325
756	1008	323
757	1009	322
758	1010	320
759	1010	319
760	1012	317
761	1013	316
762	1014	315
763	1015	313
764	1015	312
765	1016	310
766	1017	309
767	1018	307
768	1019	306
769	1020	304
770	1021	303
771	1022	302
772	1023	300
773	1024	299
774	1026	298
775	1027	296
776	1028	295
777	1029	293
778	1031	292
779	1033	291
780	1034	289
781	1038	289
782	1040	288
783	1041	287
784	1043	285
785	1044	284
786	1046	283
787	1048	282
788	1052	281
789	1054	280
790	1055	278
791	1056	277
792	1058	276
793	1059	274
794	1060	273
795	1061	272
796	1062	270
797	1063	269
798	1065	267
799	1066	266
800	1068	265
801	1070	264
802	1071	262
803	1072	261
804	1073	260
805	1075	258
806	1076	257
807	1078	256
808	1084	256
809	1086	254
810	1088	253
811	1090	252
812	1092	251
813	1094	250
814	1097	249
815	1098	247
816	1100	246
817	1101	245
818	1103	243
819	1105	242
820	1107	241
821	1108	240
822	1109	238
823	1112	237
824	1114	236
825	1115	235
826	1117	233
827	1118	232
828	1119	230
829	1120	229
830	1121	228
831	1122	226
832	1123	225
833	1124	223
834	1129	223
835	1130	221
836	1131	220
837	1133	219
838	1134	217
839	1135	216
840	1136	214
841	1138	213
842	1139	212
843	1140	210
844	1142	209
845	1144	208
846	1146	207
847	1147	205
848	1148	204
849	1149	202
850	1151	201
851	1153	200
852	1154	198
853	1155	197
854	1157	196
855	1159	194
856	1160	193
857	1161	192
858	1163	190
859	1164	189
860	1165	188
861	1166	186
862	1167	185
863	1168	183
864	1169	182
865	1172	181
866	1174	180
867	1176	178
868	1177	177
869	1178	176
870	1179	174
871	1180	173
872	1181	171
873	1182	170
874	1183	169
875	1184	167
876	1185	166
877	1186	164
878	1188	163
879	1189	162
880	1190	160
881	1191	159
882	1192	158
883	1193	156
884	1197	155
885	1198	154
886	1199	152
887	1200	151
888	1203	150
889	1205	148
890	1206	147
891	1207	146
892	1208	144
893	1209	143
894	1210	142
895	1212	140
896	1213	139
897	1214	137
898	1219	136
899	1220	135
900	1221	134
901	1223	132
902	1224	131
